,job_sub_time,job_id,int_num,req_cpu_core,req_mem_GB,req_gpu,req_bit_per_sec,int_runtime_sec
0,1.0,f921063e9fc37cfaa4134d2c_PyTorchWorker,10.0,26.0,48.828125,2.0,93674258.96520878,1706.3
1,391.0,ad18927202a56131d2ab5825_worker,1.0,6.0,2.9296875,1.0,14295548.06447157,32.0
2,494.0,49eb16ddbd3e079f4ee800ed_tensorflow,1.0,6.0,29.296875,1.0,14657564.613742018,495.0
3,514.0,ffe6226240f9d9f53ba22d4d_tensorflow,1.0,6.0,29.296875,1.0,12296086.21596677,424.0
4,529.0,e1ad95130b83b1f097fa94ce_tensorflow,1.0,6.0,29.296875,1.0,14843890.705561126,394.0
5,533.0,ba6199372b12d8b22c035d22_tensorflow,1.0,6.0,29.296875,1.0,24624671.95914389,546.0
6,789.0,27898461252e39beb2782379_worker,10.0,6.0,146.484375,0.5,8807691.617427109,1018.9
7,850.0,605e7340b59605a7f4719735_xComputeWorker,1.0,10.0,19.55078125,0.5,38509456.32404916,378.0
8,1121.0,0492c8068e4694fd4c20d82d_PyTorchWorker,1.0,18.0,58.59375,1.0,77329769.03888652,59.0
9,1314.0,67262c1cc624700f81666eab_xComputeWorker,1.0,10.0,19.55078125,0.5,79258395.55798618,434.0
10,2092.0,52740213b479952da1c0d15c_worker,10.0,6.0,29.296875,0.25,16187271.452277668,727.5
11,2336.0,32394b3cf30a872f33544ce2_tensorflow,1.0,6.0,29.296875,1.0,42082961.74477599,31.0
12,2389.0,eb99c8e19e9706d8aa97c56e_tensorflow,1.0,6.0,29.296875,1.0,42648536.75981303,62.0
13,2643.0,f1cc4f7435326b5d681c9c2f_tensorflow,1.0,6.0,29.296875,1.0,29856150.428534795,3584.0
14,2750.0,dc5ed3dfea9125c24ec90764_worker,10.0,6.0,29.296875,0.25,16759840.628988368,1470.5
15,2855.0,31e305377b0f8845dca32f71_tensorflow,1.0,6.0,29.296875,0.25,33001065.177559927,17801.0
16,2857.0,28e4d9ea636629ceae059805_tensorflow,1.0,6.0,29.296875,0.25,58339122.334048085,14277.0
17,2976.0,947908f1c010de9bcf70837a_tensorflow,1.0,6.0,29.296875,1.0,9917142.84556372,92.0
18,3041.0,235ad5e8aa0e1fce84b704d9_tensorflow,1.0,6.0,29.296875,0.25,19604727.89359741,94.0
19,3058.0,e2b41d738abfe4649ad8e88f_worker,2.0,6.0,4.0,0.25,47480281.04777144,90.5
20,3582.0,f9fd51e172075ab6c6b61f1a_worker,50.0,4.0,19.53125,0.25,8614216.97038213,115519.18
21,3595.0,92c8fb5fff3cadb26691fcf1_xComputeWorker,1.0,8.0,7.83203125,0.5,27938034.79187453,78.0
22,3665.0,2194fb7ac7b914c2ef654b02_xComputeWorker,1.0,10.0,19.55078125,0.5,33991747.00842744,673.0
23,4025.0,f23c267872c2774a49cdb751_tensorflow,1.0,6.0,29.296875,1.0,16572058.196620872,12.0
24,4260.0,4c039a1712296ed7e0f2fb4c_tensorflow,1.0,6.0,29.296875,1.0,17131422.82306091,939.0
25,4823.0,c7719b5e1969003808806953_tensorflow,1.0,6.0,29.296875,1.0,34732576.50478806,18248.0
26,5140.0,0550236add0e2e624d5e31da_worker,20.0,6.0,15.625,1.0,22154939.695325483,51.95
27,5184.0,7696e8cd8722070dcb6512cb_tensorflow,1.0,6.0,29.296875,0.25,48473820.74982332,2438.0
28,5282.0,1d3ea2014d1e2bc25864bc8c_worker,8.0,6.0,29.296875,0.2,75237329.86507654,23819.125
29,5352.0,11efa2581e733abecb60d417_worker,1.0,6.0,29.296875,1.0,50073195.677243,204.0
30,5413.0,7261ef4749050e43f1cbc71e_PyTorchWorker,1.0,4.0,9.765625,1.0,19884361.00830352,14010.0
31,6173.0,47f0f33bbd340fea74ead0d6_PyTorchWorker,1.0,0.5,48.828125,3.0,3565306.25401569,44.0
32,6389.0,2a3d90435eb6eba26f498269_PyTorchWorker,1.0,1.0,97.65625,5.0,4081874.990571928,60.0
33,6502.0,72de7098cc73e98bc6115bdb_worker,14.0,6.0,29.296875,1.0,22185413.343538992,664.3571428571429
34,7023.0,ebc286fed9cd20cb60782f02_tensorflow,1.0,6.0,29.296875,1.0,66618319.523073465,4108.0
